major_heading,major_heading_Thai,activity_code,met_value,activity_description,activity_description_Thai,target_group
Occupation,อาชีพ,11805,3.8,"Walking, pushing a wheelchair",การเดิน การเข็นรถเข็น,adult
Occupation,อาชีพ,11810,4.5,"Walking, 3.5 mph, briskly and carrying objects  less than 25 lbs",เดินเร็ว 3.5 ไมล์ต่อชั่วโมง และถือสิ่งของที่มีน้ำหนักน้อยกว่า 25 ปอนด์,adult
Occupation,อาชีพ,11820,4,"Walking or walk downstairs or standing,  carrying objects about 25 to 49 lbs",การเดินหรือเดินลงบันได หรือการยืน ขณะถือสิ่งของที่มีน้ำหนักประมาณ 25 ถึง 49 ปอนด์,adult
Occupation,อาชีพ,11830,5.5,"Walking or walk downstairs or standing,  carrying objects about 50 to 74 lbs",การเดินหรือเดินลงบันได หรือการยืน ขณะถือสิ่งของที่มีน้ำหนักประมาณ 50 ถึง 74 ปอนด์,adult
Occupation,อาชีพ,11840,7,"Walking or walk downstairs or standing,  carrying objects about 75 to 99 lbs",การเดินหรือเดินลงบันได หรือการยืน ขณะถือสิ่งของที่มีน้ำหนักประมาณ 75 ถึง 99 ปอนด์,adult
Occupation,อาชีพ,11850,7.3,"Walking or walk downstairs or standing,  carrying objects about 100 lbs or more",การเดินหรือเดินลงบันได หรือการยืน การถือสิ่งของที่มีน้ำหนักประมาณ 100 ปอนด์ขึ้นไป,adult
Occupation,อาชีพ,11860,2.3,"Warehouse/Shipping Center, Loading/Unloading boxes","คลังสินค้า/ศูนย์จัดส่งสินค้า, ขนถ่ายกล่องสินค้า",adult
Occupation,อาชีพ,11862,4.3,"Warehouse/Shipping Center, Moving boxes (~5kg)",คลังสินค้า/ศูนย์จัดส่งสินค้า กล่องสำหรับขนย้าย (~5 กก.),adult
Occupation,อาชีพ,11870,3,"Working in scene shop, theater actor, backstage  employee",ทำงานในแผนกจัดเตรียมฉาก นักแสดงละครเวที พนักงานเบื้องหลัง,adult
Occupation,อาชีพ,11880,3.5,"Soldiers, military marching, unloaded 1.5-2.5 mph",ทหารเดินสวนสนามด้วยความเร็ว 1.5-2.5 ไมล์ต่อชั่วโมง (ไม่มีสัมภาระ),adult
Occupation,อาชีพ,11882,4,"Soldiers, military marching, 1.5-2.5 mph, 10 to 30 kg load",ทหาร เดินสวนสนาม ความเร็ว 1.5-2.5 ไมล์ต่อชั่วโมง แบกสัมภาระ 10-30 กิโลกรัม,adult
Occupation,อาชีพ,11884,5,"Airborne Shuffle, 2.5 to 3.5 mph, 20-30 kg load",การเคลื่อนที่แบบ Airborne Shuffle ด้วยความเร็ว 2.5 ถึง 3.5 ไมล์ต่อชั่วโมง น้ำหนักบรรทุก 20-30 กิโลกรัม,adult
Occupation,อาชีพ,11886,6.3,"Soldiers, military loaded marching, varying terrain, 25-40 kg load",ทหารเดินแถวพร้อมสัมภาระหนัก บนภูมิประเทศที่หลากหลาย น้ำหนักบรรทุก 25-40 กิโลกรัม,adult
Occupation,อาชีพ,11887,6,"Soldiers, walking, 2.8 mph, 5% grade, up to 21.5 kg load",ทหาร เดินด้วยความเร็ว 2.8 ไมล์ต่อชั่วโมง ความลาดชัน 5% แบกน้ำหนักได้สูงสุด 21.5 กิโลกรัม,adult
Occupation,อาชีพ,11888,8.5,"Soldiers, walking,  2.8 mph, 10% grade, up to 21.5 kg load",ทหาร เดินด้วยความเร็ว 2.8 ไมล์ต่อชั่วโมง บนทางลาดชัน 10% แบกสัมภาระได้สูงสุด 21.5 กิโลกรัม,adult
Occupation,อาชีพ,11889,11,"Soldiers, walking,  2.8 mph, 15% grade, up to 21.5 kg load",ทหาร เดินด้วยความเร็ว 2.8 ไมล์ต่อชั่วโมง ความลาดชัน 15% แบกสัมภาระได้สูงสุด 21.5 กิโลกรัม,adult
Occupation,อาชีพ,11892,6,"Military activities, arterial field preparation, digging defensive positions",กิจกรรมทางทหาร การเตรียมพื้นที่แนวรบ การขุดสนามเพลาะป้องกัน,adult
Running,วิ่ง,12010,6,Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180),ออกกำลังกายแบบผสมผสานระหว่างวิ่งเหยาะๆ และเดิน (โดยวิ่งเหยาะๆ ไม่เกิน 10 นาที) (รหัสเทย์เลอร์ 180),adult
Running,วิ่ง,12020,7.5,"Jogging, general, self-selected pace",การวิ่งเหยาะๆ ทั่วไป ด้วยความเร็วที่เลือกเอง,adult
Running,วิ่ง,12025,4.8,"Jogging, in place",การวิ่งอยู่กับที่,adult
Running,วิ่ง,12026,3.3,Jogging 2.6 to 3.7 mph,วิ่งเหยาะๆ ด้วยความเร็ว 2.6 ถึง 3.7 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12027,4.5,Jogging on a mini-tramp,วิ่งเหยาะๆ บนแทรมโพลีนขนาดเล็ก,adult
Running,วิ่ง,12028,6.5,"Running, 4 to 4.2 mph (13 min/mile)",วิ่งด้วยความเร็ว 4 ถึง 4.2 ไมล์ต่อชั่วโมง (13 นาทีต่อไมล์),adult
Running,วิ่ง,12029,7.8,Running 4.3 to 4.8 mph,วิ่งด้วยความเร็ว 4.3 ถึง 4.8 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12030,8.5,"Running, 5.0 to 5.2 mph (12 min/mile)",วิ่งด้วยความเร็ว 5.0 ถึง 5.2 ไมล์ต่อชั่วโมง (12 นาทีต่อไมล์),adult
Running,วิ่ง,12045,9,"Running, 5.5 -5.8 mph",วิ่งด้วยความเร็ว 5.5 - 5.8 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12050,9.3,"Running, 6-6.3 mph (10 min/mile)",วิ่งด้วยความเร็ว 6-6.3 ไมล์ต่อชั่วโมง (10 นาทีต่อไมล์),adult
Running,วิ่ง,12060,10.5,"Running, 6.7 mph (9 min/mile)",วิ่งด้วยความเร็ว 6.7 ไมล์ต่อชั่วโมง (9 นาทีต่อไมล์),adult
Running,วิ่ง,12070,11,"Running, 7 mph (8.5 min/mile)",วิ่งด้วยความเร็ว 7 ไมล์ต่อชั่วโมง (8.5 นาทีต่อไมล์),adult
Running,วิ่ง,12080,11.8,"Running, 7.5 mph (8 min/mile)",วิ่งด้วยความเร็ว 7.5 ไมล์ต่อชั่วโมง (8 นาทีต่อไมล์),adult
Running,วิ่ง,12090,12,"Running, 8 mph (7.5 min/mile)",วิ่งด้วยความเร็ว 8 ไมล์ต่อชั่วโมง (7.5 นาทีต่อไมล์),adult
Running,วิ่ง,12100,12.5,"Running, 8.6 mph (7 min/mile)",วิ่งด้วยความเร็ว 8.6 ไมล์ต่อชั่วโมง (7 นาทีต่อไมล์),adult
Running,วิ่ง,12110,13,"Running, 9 mph (6.5 min/mile)",วิ่งด้วยความเร็ว 9 ไมล์ต่อชั่วโมง (6.5 นาทีต่อไมล์),adult
Running,วิ่ง,12115,14.8,"Running, 9.3 to 9.6 mph",วิ่งด้วยความเร็ว 9.3 ถึง 9.6 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12120,14.8,"Running, 10 mph (6 min/mile)",วิ่งด้วยความเร็ว 10 ไมล์ต่อชั่วโมง (6 นาทีต่อไมล์),adult
Running,วิ่ง,12130,16.8,"Running, 11 mph (5.5 min/mile)",วิ่งด้วยความเร็ว 11 ไมล์ต่อชั่วโมง (5.5 นาทีต่อไมล์),adult
Running,วิ่ง,12132,18.5,"Running, 12 mph (5.0 min/mile)",วิ่งด้วยความเร็ว 12 ไมล์ต่อชั่วโมง (5.0 นาทีต่อไมล์),adult
Running,วิ่ง,12134,19.8,"Running, 13 mph (4.6 min/mile)",วิ่งด้วยความเร็ว 13 ไมล์ต่อชั่วโมง (4.6 นาทีต่อไมล์),adult
Running,วิ่ง,12135,23,"Running, 14 mph (4.3 min/mile)",วิ่งด้วยความเร็ว 14 ไมล์ต่อชั่วโมง (4.3 นาทีต่อไมล์),adult
Running,วิ่ง,12140,9.3,"Running, cross country","การวิ่ง, วิ่งครอสคันทรี",adult
Running,วิ่ง,12145,10.5,"Running, self-selected pace",การวิ่ง ด้วยความเร็วที่เลือกเอง,adult
Running,วิ่ง,12150,8,Running (Taylor Code 200),การวิ่ง (รหัสเทย์เลอร์ 200),adult
Running,วิ่ง,12170,15,"Running, stairs, up",วิ่ง ขึ้นบันได,adult
Running,วิ่ง,12180,10,"Running, on a track, team practice",การวิ่งบนลู่ การฝึกซ้อมของทีม,adult
Running,วิ่ง,12184,18,"Running, on track, 500-1500m, competitive",วิ่งแข่งระยะ 500-1500 เมตร,adult
Running,วิ่ง,12186,19.3,"Running, on track, 2000-3000m, competitive",วิ่งแข่งระยะ 2000-3000 เมตร,adult
Running,วิ่ง,12190,8,"Running, training, pushing a wheelchair or baby carrier",การวิ่ง การฝึกซ้อม การเข็นรถเข็น หรือเป้อุ้มเด็ก,adult
Running,วิ่ง,12200,13.3,"Running, marathon","การวิ่ง, มาราธอน",adult
Running,วิ่ง,12255,10.3,"Running uphill, 4.5mph, 5% incline",วิ่งขึ้นเนิน ความเร็ว 4.5 ไมล์ต่อชั่วโมง ความชัน 5%,adult
Running,วิ่ง,12260,13.3,"Running uphill, 6.0 mph, 5% incline",วิ่งขึ้นเนิน ความเร็ว 6.0 ไมล์ต่อชั่วโมง ความลาดชัน 5%,adult
Running,วิ่ง,12265,15.5,"Running uphill, 7.0 mph, 5% incline",วิ่งขึ้นเนิน ความเร็ว 7.0 ไมล์ต่อชั่วโมง ความลาดชัน 5%,adult
Running,วิ่ง,12325,17.5,"Running uphill, 5.0 to 5.9 mph, 15% incline",วิ่งขึ้นเนิน ความเร็ว 5.0 ถึง 5.9 ไมล์ต่อชั่วโมง ความลาดชัน 15%,adult
Running,วิ่ง,12335,8.8,"Running uphill, 0.6 to 0.79 mph, 30% incline",วิ่งขึ้นเนิน ความเร็ว 0.6 ถึง 0.79 ไมล์ต่อชั่วโมง ความลาดชัน 30%,adult
Running,วิ่ง,12337,10.3,"Running uphill, 0.8 to 0.99 mph, 30% incline",วิ่งขึ้นเนิน ความเร็ว 0.8 ถึง 0.99 ไมล์ต่อชั่วโมง ความลาดชัน 30%,adult
Running,วิ่ง,12339,11.8,"Running uphill, 1.0 to 1.19 mph, 30% incline",วิ่งขึ้นเนิน ความเร็ว 1.0 ถึง 1.19 ไมล์ต่อชั่วโมง ความลาดชัน 30%,adult
Running,วิ่ง,12341,13.5,"Running uphill, 1.2 to 1.39 mph, 30-40% incline",วิ่งขึ้นเนิน ความเร็ว 1.2 ถึง 1.39 ไมล์ต่อชั่วโมง ความลาดชัน 30-40%,adult
Running,วิ่ง,12343,14.8,"Running uphill, 1.4 to 1.59 mph, 30% incline",วิ่งขึ้นเนิน ความเร็ว 1.4 ถึง 1.59 ไมล์ต่อชั่วโมง ความลาดชัน 30%,adult
Running,วิ่ง,12345,16.3,"Running uphill, >1.6mph, 10-30% incline",วิ่งขึ้นเนิน ความเร็วมากกว่า 1.6 ไมล์ต่อชั่วโมง ความลาดชัน 10-30%,adult
Running,วิ่ง,12350,16,"Running, hilly terrain, ±100m change in elevation",การวิ่งบนพื้นที่เป็นเนินเขา ความสูงเปลี่ยนแปลงประมาณ ±100 เมตร,adult
Running,วิ่ง,12352,5.8,"Running downhill, 5.0 to 5.9 mph, -10% to -15%",วิ่งลงเนิน ความเร็ว 5.0 ถึง 5.9 ไมล์ต่อชั่วโมง ความลาดชัน -10% ถึง -15%,adult
Running,วิ่ง,12353,7.5,"Running downhill, 6.0 to 6.9 mph, -10% to -15%",วิ่งลงเนิน ความเร็ว 6.0 ถึง 6.9 ไมล์ต่อชั่วโมง ความลาดชัน -10% ถึง -15%,adult
Running,วิ่ง,12355,9,"Running downhill, 7.0 to 8.9 mph, -10% to -15%",วิ่งลงเนิน ความเร็ว 7.0 ถึง 8.9 ไมล์ต่อชั่วโมง ความลาดชัน -10% ถึง -15%,adult
Running,วิ่ง,12358,9.3,"Running downhill, 6.0 to 7.9 mph, -3% to -9%",วิ่งลงเนิน ความเร็ว 6.0 ถึง 7.9 ไมล์ต่อชั่วโมง ความลาดชัน -3% ถึง -9%,adult
Running,วิ่ง,12361,13.8,"Running downhill, 8.0 to 10.5 mph, -3% to -9%",วิ่งลงเนิน ความเร็ว 8.0 ถึง 10.5 ไมล์ต่อชั่วโมง ความลาดชัน -3% ถึง -9%,adult
Running,วิ่ง,12405,5.3,"Running/jogging, curved treadmill, 3.0 to 3.9 mph",การวิ่ง/จ็อกกิ้ง บนลู่วิ่งแบบโค้ง ความเร็ว 3.0 ถึง 3.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12408,6.5,"Running/jogging, curved treadmill, 4.0 to 4.9 mph",การวิ่ง/จ็อกกิ้ง บนลู่วิ่งแบบโค้ง ความเร็ว 4.0 ถึง 4.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12410,11,"Running curved treadmill, 5.0 to 5.9 mph",วิ่งบนลู่วิ่งไฟฟ้าแบบโค้ง ความเร็ว 5.0 ถึง 5.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12412,12,"Running curved treadmill, 7.0 to 7.9 mph",วิ่งบนลู่วิ่งไฟฟ้าแบบโค้ง ความเร็ว 7.0 ถึง 7.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12414,14,"Running curved treadmill, 8.0 to 8.9 mph",วิ่งบนลู่วิ่งไฟฟ้าแบบโค้ง ความเร็ว 8.0 ถึง 8.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12416,16.8,"Running curved treadmill, 9.0 to 9.9 mph",วิ่งบนลู่วิ่งโค้ง ความเร็ว 9.0 ถึง 9.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12508,8.5,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack",วิ่งด้วยความเร็ว 5.0 - 5.9 ไมล์ต่อชั่วโมง พร้อมเป้สะพายหลังน้ำหนัก 1.0 - 3.0 กิโลกรัม,adult
Running,วิ่ง,12510,9.5,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack",วิ่งด้วยความเร็ว 6.0 - 6.9 ไมล์ต่อชั่วโมง พร้อมเป้สะพายหลังน้ำหนัก 1.0 - 3.0 กิโลกรัม,adult
Running,วิ่ง,12512,9.8,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack",วิ่งด้วยความเร็ว 7.0 - 7.9 ไมล์ต่อชั่วโมง พร้อมเป้สะพายหลังน้ำหนัก 1.0 ถึง 3.0 กิโลกรัม,adult
Running,วิ่ง,12514,12,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack",วิ่งด้วยความเร็ว 8.0 - 8.9 ไมล์ต่อชั่วโมง พร้อมเป้สะพายหลังน้ำหนัก 1.0 ถึง 3.0 กิโลกรัม,adult
Running,วิ่ง,12555,7.8,"Running, barefoot, 3.5-5.9 mph",วิ่งเท้าเปล่าด้วยความเร็ว 3.5-5.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12560,12,"Running, barefoot, 6.0-7.9 mph",วิ่งเท้าเปล่าด้วยความเร็ว 6.0-7.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12565,13.5,"Running, barefoot, 8.0-8.9 mph",วิ่งเท้าเปล่าด้วยความเร็ว 8.0-8.9 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12585,8,"Running, jogging stroller, indoors, 5 mph","วิ่งออกกำลังกาย, รถเข็นเด็ก, ในร่ม, ความเร็ว 5 ไมล์ต่อชั่วโมง",adult
Running,วิ่ง,12588,9,"Running, jogging stroller, indoors, 6 mph","วิ่งออกกำลังกาย, รถเข็นเด็ก, ในร่ม, ความเร็ว 6 ไมล์ต่อชั่วโมง",adult
Running,วิ่ง,12593,10,"Running, jogging stroller, outdoors, 5 mph",วิ่งออกกำลังกายกลางแจ้งด้วยรถเข็นเด็ก ความเร็ว 5 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12595,11.5,"Running, jogging stroller, outdoors, 6 mph",วิ่งออกกำลังกายกลางแจ้งด้วยรถเข็นเด็ก ความเร็ว 6 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12600,11.5,"Skipping, 5.5-6.0 mph",การกระโดดเชือก ความเร็ว 5.5-6.0 ไมล์ต่อชั่วโมง,adult
Running,วิ่ง,12620,13,"Triathlon, Running","ไตรกีฬา, วิ่ง",adult
Self Care,การดูแลตนเอง,13000,2.3,"Getting ready for bed, general, standing","เตรียมตัวเข้านอน, ทั่วไป, ยืน",adult
Self Care,การดูแลตนเอง,13009,2.3,"Sitting on toilet, eliminating while standing or  squatting",การนั่งบนโถส้วม การขับถ่ายขณะยืน หรือขณะนั่งยองๆ,adult
Self Care,การดูแลตนเอง,13010,1.5,"Bathing, sitting",การอาบน้ำ การนั่ง,adult
Self Care,การดูแลตนเอง,13020,2.8,"Dressing, undressing, standing or sitting",การแต่งตัว การถอดเสื้อผ้า การยืน หรือการนั่ง,adult
Self Care,การดูแลตนเอง,13030,1.5,"Eating, sitting",การกิน การนั่ง,adult
Self Care,การดูแลตนเอง,13035,2,"Talking and eating or eating only, standing",พูดคุยไปกินไป หรือกินอย่างเดียว ขณะยืน,adult
Self Care,การดูแลตนเอง,13036,1.5,"Taking medication, sitting or standing",การรับประทานยา การนั่ง หรือการยืน,adult
Self Care,การดูแลตนเอง,13040,2,"Grooming, washing hands, shaving, brushing  teeth, putting on make-up, sitting or standing",การดูแลตัวเอง การล้างมือ การโกนหนวด การแปรงฟัน การแต่งหน้า การนั่ง หรือการยืน,adult
Self Care,การดูแลตนเอง,13045,2.5,"Hairstyling, standing",การจัดแต่งทรงผมแบบยืน,adult
Self Care,การดูแลตนเอง,13046,1.3,"Having hair or nails done by someone else,  sitting",การให้ลูกค้าทำผมหรือเล็บให้ การนั่ง,adult
Self Care,การดูแลตนเอง,13050,2,"Showering, toweling off, standing",อาบน้ำ เช็ดตัว ยืน,adult
Sexual Activity,กิจกรรมทางเพศ,14010,5.8,"Active, vigorous effort",ความพยายามที่กระตือรือร้นและเต็มเปี่ยม,adult
Sexual Activity,กิจกรรมทางเพศ,14020,3,"General, moderate effort",โดยทั่วไป ใช้แรงปานกลาง,adult
Sexual Activity,กิจกรรมทางเพศ,14030,1.8,"Passive, light effort, kissing, hugging",การกระทำที่ไม่ต้องใช้แรงมาก เช่น การจูบ การกอด,adult
Sports,กีฬา,15000,5.5,"Alaska Native Games, Eskimo Olympics, general","กีฬาพื้นเมืองอะแลสกา, กีฬาโอลิมปิกเอสกิโม, ทั่วไป",adult
Sports,กีฬา,15010,4.3,Archery (non-hunting),การยิงธนู (ไม่ใช่เพื่อการล่าสัตว์),adult
Sports,กีฬา,15020,7,"Badminton, competitive (Taylor Code 450)",แบดมินตันประเภทแข่งขัน (รหัสเทย์เลอร์ 450),adult
Sports,กีฬา,15025,9,"Badminton, competitive, match play","แบดมินตัน, การแข่งขัน, แมตช์เพลย์",adult
Sports,กีฬา,15030,5.5,"Badminton, social singles and doubles, general","แบดมินตัน, ประเภทเดี่ยวและคู่ (เล่นเพื่อความสนุกสนานทั่วไป)",adult
Sports,กีฬา,15040,8,"Basketball, game (Taylor Code 490)","บาสเกตบอล, เกม (รหัสเทย์เลอร์ 490)",adult
Sports,กีฬา,15050,6,"Basketball, non-game, general (Taylor Code 480)",บาสเกตบอล (นอกเกม) ทั่วไป (รหัสเทย์เลอร์ 480),adult
Sports,กีฬา,15055,7.5,"Basketball, general",บาสเกตบอลทั่วไป,adult
Sports,กีฬา,15060,7,"Basketball, officiating (Taylor Code 500)","บาสเกตบอล, การทำหน้าที่ผู้ตัดสิน (รหัสเทย์เลอร์ 500)",adult
Sports,กีฬา,15062,5.8,"Basketball, officiating","บาสเกตบอล, การตัดสิน",adult
Sports,กีฬา,15070,5,"Basketball, shooting baskets",บาสเกตบอล การชู้ตลูกลงห่วง,adult
Sports,กีฬา,15072,9.3,"Basketball, drills, practice","บาสเก็ตบอล, การฝึกซ้อม, การฝึกฝน",adult
Sports,กีฬา,15080,2.5,Billiards,บิลเลียด,adult
Sports,กีฬา,15090,3,Bowling (Taylor Code 390),โบว์ลิ่ง (รหัสเทย์เลอร์ 390),adult
Sports,กีฬา,15092,3.8,"Bowling, indoor, bowling alley",โบว์ลิ่งในร่ม ลานโบว์ลิ่ง,adult
Sports,กีฬา,15100,12.3,"Boxing, in ring, general","มวยสากล, ในเวที, ทั่วไป",adult
Sports,กีฬา,15110,5.8,"Boxing, punching bag","มวย, กระสอบทราย",adult
Sports,กีฬา,15113,7,"Boxing, punching bag, 60 b/min","มวยสากล, กระสอบทราย, 60 ครั้ง/นาที",adult
Sports,กีฬา,15115,8.5,"Boxing, punching bag, 120 b/min","มวยสากล, กระสอบทราย, 120 ครั้ง/นาที",adult
Sports,กีฬา,15118,10.8,"Boxing, punching bag, 180 b/min","มวยสากล, กระสอบทราย, 180 ครั้ง/นาที",adult
Sports,กีฬา,15120,7.8,"Boxing, sparring","มวยสากล, การฝึกซ้อม",adult
Sports,กีฬา,15125,9.3,"Boxing, simulated boxing round, exercise","มวย, การจำลองการชกมวย, การออกกำลังกาย",adult
Sports,กีฬา,15130,7,Broomball,บรูมบอล,adult
Sports,กีฬา,15135,5.8,"Children’s games, adults playing  (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles, jacks,
arcade games), moderate effort","เกมสำหรับเด็กที่ผู้ใหญ่เล่นด้วย (เช่น เกมกระโดดข้ามช่อง, เกมสี่เหลี่ยม, ดอดจ์บอล, อุปกรณ์ในสนามเด็กเล่น, ทีบอล, เทเทอร์บอล, ลูกแก้ว, แจ็ค,
เกมตู้) ที่ใช้แรงปานกลาง",adult
Sports,กีฬา,15138,6,"Cheerleading, gymnastic moves, competitive",การเชียร์ลีดเดอร์ ท่าทางกายกรรม การแข่งขัน,adult
Sports,กีฬา,15140,4,"Coaching, football, soccer, basketball, baseball, swimming, etc.","การฝึกสอน, ฟุตบอล, บาสเกตบอล, เบสบอล, ว่ายน้ำ ฯลฯ",adult
Sports,กีฬา,15142,8,"Coaching, actively playing sport with players",การฝึกสอน การเล่นกีฬาร่วมกับผู้เล่นอย่างกระตือรือร้น,adult
Sports,กีฬา,15150,4.8,"Cricket, batting, bowling, fielding","คริกเก็ต, การตีลูก, การขว้างลูก, การรับลูก",adult
Sports,กีฬา,15160,3.3,Croquet,โครเกต์,adult
Sports,กีฬา,15170,4,Curling,เคอร์ลิง,adult
Sports,กีฬา,15180,2.5,"Darts, wall or lawn",ปาลูกดอก เล่นบนกำแพงหรือสนามหญ้า,adult
Sports,กีฬา,15190,6,"Drag racing, pushing or driving a car",การแข่งรถทางตรง การผลักหรือขับรถ,adult
Sports,กีฬา,15192,8.5,"Auto racing, open wheel",การแข่งรถยนต์แบบล้อเปิด,adult
Sports,กีฬา,15195,7.8,Futsal,ฟุตซอล,adult
Sports,กีฬา,15200,6,"Fencing, general",ฟันดาบทั่วไป,adult
Sports,กีฬา,15203,9.8,"Fencing, epee, competitive",ฟันดาบ เอเป้ แข่งขัน,adult
Sports,กีฬา,15205,10.5,Floorball,ฟลอร์บอล,adult
Sports,กีฬา,15210,8,"Football, competitive","ฟุตบอล, การแข่งขัน",adult
Sports,กีฬา,15230,8,"Football, touch, flag, general (Taylor Code 510)","ฟุตบอล (ทัชฟุตบอล, ฟุตบอลธง, ทั่วไป) (รหัสเทย์เลอร์ 510)",adult
Sports,กีฬา,15232,4,"Football, touch, flag, light effort","ฟุตบอล, ทัช, ธง, ออกแรงเบาๆ",adult
Sports,กีฬา,15235,2.5,"Football or baseball, playing catch",ฟุตบอลหรือเบสบอล การเล่นรับส่งลูก,adult
Sports,กีฬา,15240,3,"Frisbee playing, general",การเล่นฟริสบี้ทั่วไป,adult
Sports,กีฬา,15250,8,"Frisbee, ultimate","ฟริสบี้, อัลติเมท",adult
Sports,กีฬา,15252,3.8,Frisbee golf,กอล์ฟจานร่อน,adult
Sports,กีฬา,15255,4.5,"Golf, general",กอล์ฟทั่วไป,adult
Sports,กีฬา,15265,4.3,"Golf, walking, carrying clubs","กอล์ฟ, การเดิน, การแบกไม้กอล์ฟ",adult
Sports,กีฬา,15270,3.5,"Golf, miniature, driving range",กอล์ฟขนาดเล็ก สนามฝึกซ้อมตีไกล,adult
Sports,กีฬา,15285,4.5,"Golf, walking, pulling clubs","กอล์ฟ, การเดิน, การดึงไม้กอล์ฟ",adult
Sports,กีฬา,15290,3.5,"Golf, using power cart (Taylor Code 070)",กอล์ฟ โดยใช้รถกอล์ฟไฟฟ้า (รหัส Taylor 070),adult
Sports,กีฬา,15300,3.8,"Gymnastics, general",ยิมนาสติกทั่วไป,adult
Sports,กีฬา,15310,4,Hacky sack,ลูกบอลฮักกี้,adult
Sports,กีฬา,15320,12,"Handball, general (Taylor Code 520)",แฮนด์บอล ทั่วไป (รหัสเทย์เลอร์ 520),adult
Sports,กีฬา,15330,8,"Handball, team","แฮนด์บอล, ทีม",adult
Sports,กีฬา,15335,4,"High ropes course, multiple elements",สนามฝึกปีนป่ายบนที่สูง ประกอบด้วยองค์ประกอบหลากหลาย,adult
Sports,กีฬา,15340,3.5,Hang gliding,การร่อนร่ม,adult
Sports,กีฬา,15350,7.8,"Hockey, field",ฮอกกี้สนาม,adult
Sports,กีฬา,15360,8,"Hockey, ice, general","ฮอกกี้, น้ำแข็ง, ทั่วไป",adult
Sports,กีฬา,15362,10,"Hockey, ice, competitive",ฮอกกี้น้ำแข็งแบบแข่งขัน,adult
Sports,กีฬา,15370,5.5,"Horseback riding, general",การขี่ม้าทั่วไป,adult
Sports,กีฬา,15380,4.5,"Horse grooming, maintenance, saddling tasks",งานดูแลม้า การบำรุงรักษา และการใส่อานม้า,adult
Sports,กีฬา,15390,5.8,"Horseback riding, trotting",การขี่ม้า การวิ่งเหยาะๆ,adult
Sports,กีฬา,15395,7.3,"Horseback riding, canter or gallop",การขี่ม้า วิ่งเหยาะๆ หรือวิ่งควบ,adult
Sports,กีฬา,15400,3.8,"Horseback riding, walking","ขี่ม้า, เดิน",adult
Sports,กีฬา,15402,9,"Horseback riding, jumping",การขี่ม้า การกระโดดข้ามสิ่งกีดขวาง,adult
Sports,กีฬา,15403,6,"Horseback riding, reining","การขี่ม้า, การบังคับม้า",adult
Sports,กีฬา,15406,2.1,"Horseback riding, simulator",การจำลองการขี่ม้า,adult
Sports,กีฬา,15408,1.8,"Horse cart, driving, standing or sitting",รถม้า การขับขี่ การยืน หรือการนั่ง,adult
Sports,กีฬา,15410,3,"Horseshoe pitching, quoits","การขว้างเกือกม้า, ควอยต์",adult
Sports,กีฬา,15420,12,Jai alai,ไจอาไล,adult
Sports,กีฬา,15425,5.3,"Martial Arts, different types, slower pace, novice performers, practice",ศิลปะการต่อสู้ ประเภทต่างๆ จังหวะช้าๆ ผู้แสดงมือใหม่ การฝึกฝน,adult
Sports,กีฬา,15430,10.3,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)",ศิลปะการต่อสู้ประเภทต่างๆ ที่มีจังหวะปานกลาง (เช่น ยูโด ยูยิตสู คาราเต้ คิกบ็อกซิ่ง เทควันโด ไทโบ มวยไทย),adult
Sports,กีฬา,15432,14.3,"Taekwondo, combat simulation","เทควันโด, การจำลองการต่อสู้",adult
Sports,กีฬา,15433,11.3,Judo,ยูโด,adult
Sports,กีฬา,15440,4,Juggling,การเล่นกล,adult
Sports,กีฬา,15444,6.5,"Kendo, kihon-keiko style, moderate intensity",เคนโด้สไตล์คิฮอนเคอิโกะ ความเข้มข้นปานกลาง,adult
Sports,กีฬา,15445,9.6,"Kendo, kirikaeshi style, high intensity",เคนโด สไตล์คิริคาเอชิ ความเข้มข้นสูง,adult
